default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
255071,"TUBE SOUDÉS ROND DIAMÈTRE 40 X 1,5",,,6,,ML,6,12.05,Tube
71601,TUBE SOUDÉS ROND DIAMÈTRE 20 X 2,,,6,,ML,6,7.38,Tube
71604,TUBE SOUDÉS ROND DIAMÈTRE 25 X 2,,,6,,ML,6,8.8,Tube
71807,"TUBE SOUDÉS ROND DIAMÈTRE 26,9 X 2",,,6,,ML,6,9.23,Tube
71607,TUBE SOUDÉS ROND DIAMÈTRE 30 X 2,,,6,,ML,6,10.64,Tube
71610,TUBE SOUDÉS ROND DIAMÈTRE 35 X 2,,,6,,ML,6,14.27,Tube
71613,TUBE SOUDÉS ROND DIAMÈTRE 40 X 2,,,6,,ML,6,14.33,Tube
71616,TUBE SOUDÉS ROND DIAMÈTRE 45 X 2,,,6,,ML,6,16.48,Tube
71619,TUBE SOUDÉS ROND DIAMÈTRE 60 X 2,,,6,,ML,6,18.45,Tube
71622,TUBE SOUDÉS ROND DIAMÈTRE 50 X 2,,,6,,ML,6,24.66,Tube
71711,TUBE SOUDÉS ROND DIAMÈTRE 70 X 3,,,6,,ML,6,40.84,Tube
71809,"TUBE SOUDÉS ROND DIAMÈTRE 33,7 X 2,5",,,6,,ML,6,13.47,Tube
71811,"TUBE SOUDÉS ROND DIAMÈTRE 42,4 X 2,5",,,6,,ML,6,18.76,Tube
835535,"TUBE SOUDÉS ROND DIAMÈTRE 48,3 X 2,9",,,6,,ML,6.1,26.11,Tube
71813,"TUBE SOUDÉS ROND DIAMÈTRE 48,3 X 3",,,6,,ML,6,23.0,Tube
71815,"TUBE SOUDÉS ROND DIAMÈTRE 60,3 X 3",,,6,,ML,6,29.15,Tube
71817,"TUBE SOUDÉS ROND DIAMÈTRE 88,9 X 3",,,6,,ML,6,44.65,Tube
71818,"TUBE SOUDÉS ROND DIAMÈTRE 101,6 X 3",,,6,,ML,6,54.67,Tube
71819,"TUBE SOUDÉS ROND DIAMÈTRE 114,3 X 3",,,6,,ML,6,60.58,Tube
71820,"TUBE SOUDÉS ROND DIAMÈTRE 139,7 X 4",,,6,,ML,6,103.01,Tube
71824,"TUBE SOUDÉS ROND DIAMÈTRE 168,3 X 4",,,6,,ML,6,116.67,Tube
71826,"TUBE SOUDÉS ROND DIAMÈTRE 193,7 X 4",,,6,,ML,6,145.82,Tube
71828,"TUBE SOUDÉS ROND DIAMÈTRE 219,1 X 4",,,6,,ML,6,180.75,Tube
