default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
255071,"TUBE SOUDÉS ROND DIAMÈTRE 40 X 1,5",,,6.15,,ML,6.15,1.901,Tube
71601,TUBE SOUDÉS ROND DIAMÈTRE 20 X 2,,,6.15,,ML,6.15,1.2,Tube
71604,TUBE SOUDÉS ROND DIAMÈTRE 25 X 2,,,6.15,,ML,6.15,1.431,Tube
71807,"TUBE SOUDÉS ROND DIAMÈTRE 26,9 X 2",,,6.15,,ML,6.15,1.501,Tube
71607,TUBE SOUDÉS ROND DIAMÈTRE 30 X 2,,,6.15,,ML,6.15,1.73,Tube
71610,TUBE SOUDÉS ROND DIAMÈTRE 35 X 2,,,6.15,,ML,6.15,2.32,Tube
71613,TUBE SOUDÉS ROND DIAMÈTRE 40 X 2,,,6.15,,ML,6.15,2.28,Tube
71616,TUBE SOUDÉS ROND DIAMÈTRE 45 X 2,,,6.15,,ML,6.15,2.68,Tube
71619,TUBE SOUDÉS ROND DIAMÈTRE 60 X 2,,,6.15,,ML,6.15,3.0,Tube
71622,TUBE SOUDÉS ROND DIAMÈTRE 50 X 2,,,6.15,,ML,6.15,3.59,Tube
71711,TUBE SOUDÉS ROND DIAMÈTRE 70 X 3,,,6.15,,ML,6.15,6.641,Tube
71809,"TUBE SOUDÉS ROND DIAMÈTRE 33,7 X 2,5",,,6.15,,ML,6.15,2.19,Tube
71811,"TUBE SOUDÉS ROND DIAMÈTRE 42,4 X 2,5",,,6.15,,ML,6.15,2.85,Tube
835535,"TUBE SOUDÉS ROND DIAMÈTRE 48,3 X 2,9",,,6.15,,ML,6.1,4.28,Tube
71813,"TUBE SOUDÉS ROND DIAMÈTRE 48,3 X 3",,,6.15,,ML,6.15,3.74,Tube
71815,"TUBE SOUDÉS ROND DIAMÈTRE 60,3 X 3",,,6.15,,ML,6.15,4.74,Tube
71817,"TUBE SOUDÉS ROND DIAMÈTRE 88,9 X 3",,,6.15,,ML,6.15,7.26,Tube
71818,"TUBE SOUDÉS ROND DIAMÈTRE 101,6 X 3",,,6.15,,ML,6.15,8.889,Tube
71819,"TUBE SOUDÉS ROND DIAMÈTRE 114,3 X 3",,,6.15,,ML,6.15,9.73,Tube
71820,"TUBE SOUDÉS ROND DIAMÈTRE 139,7 X 4",,,6.15,,ML,6.15,16.631,Tube
71824,"TUBE SOUDÉS ROND DIAMÈTRE 168,3 X 4",,,6.15,,ML,6.15,18.971,Tube
71826,"TUBE SOUDÉS ROND DIAMÈTRE 193,7 X 4",,,6.15,,ML,6.15,23.711,Tube
71828,"TUBE SOUDÉS ROND DIAMÈTRE 219,1 X 4",,,6.15,,ML,6.15,29.39,Tube
71712,"TUBE 10219 DIAM152,4X3 6ML",,,1.0,,ML,1.0,0.0,Tube
71822,"TUBE 10219 ROND 159,0X4 C",,,1.0,,ML,1.0,0.0,Tube
