default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70794,CARRÉ PLEIN DE 08,,,3.211,,KG,3.211,4.01,Barre
70795,CARRÉ PLEIN DE 10,,,4.989,,KG,4.989,5.79,Barre
70796,CARRÉ PLEIN DE 12,,,7.227,,KG,7.227,8.17,Barre
70797,CARRÉ PLEIN DE 14,,,9.85,,KG,9.85,10.15,Barre
70798,CARRÉ PLEIN DE 16,,,12.856,,KG,12.856,13.24,Barre
70799,CARRÉ PLEIN DE 18,,,16.246,,KG,16.246,16.73,Barre
70800,CARRÉ PLEIN DE 20,,,20.083,,KG,20.083,20.69,Barre
70801,CARRÉ PLEIN DE 22,,,24.305,,KG,24.305,25.03,Barre
70802,CARRÉ PLEIN DE 25,,,31.404,,KG,31.404,32.35,Barre
70803,CARRÉ PLEIN DE 30,,,45.22,,KG,45.22,46.58,Barre
70804,CARRÉ PLEIN DE 35,,,61.53,,KG,61.53,63.38,Barre
70805,CARRÉ PLEIN DE 40,,,80.59,,KG,80.59,83.01,Barre
70806,CARRÉ PLEIN DE 50,,,125.49,,KG,125.49,136.78,Barre
70793,CARRE 6,,,1.791,,KG,1.791,1.95,Barre
70807,CARRE 60,,,181.007,,KG,181.007,226.26,Barre
